Address,Port,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"192.168.1.1",33131,6,2354,6,2354,0,0
"192.168.1.1",33132,6,2354,6,2354,0,0
"192.168.1.1",33140,4,1768,4,1768,0,0
"192.168.1.1",33147,2,884,2,884,0,0
"192.168.1.1",33154,6,2354,6,2354,0,0
"192.168.1.1",33156,6,2354,6,2354,0,0
"192.168.1.1",33174,6,2354,6,2354,0,0
"192.168.1.1",33192,4,1768,4,1768,0,0
"192.168.1.1",33214,6,2354,6,2354,0,0
"192.168.1.1",33218,6,2354,6,2354,0,0
"192.168.1.1",33230,2,884,2,884,0,0
"192.168.1.1",33234,1,92,1,92,0,0
"192.168.1.1",33238,6,2354,6,2354,0,0
"192.168.1.1",33264,6,2354,6,2354,0,0
"192.168.1.1",33267,1,92,1,92,0,0
"192.168.1.1",33270,6,2354,6,2354,0,0
"192.168.1.1",33274,8,3238,8,3238,0,0
"192.168.1.1",33275,1,92,1,92,0,0
"192.168.1.1",33304,2,884,2,884,0,0
"192.168.1.1",33309,6,2354,6,2354,0,0
"192.168.1.1",33317,6,2354,6,2354,0,0
"192.168.1.1",33320,2,884,2,884,0,0
"192.168.1.1",33322,1,310,1,310,0,0
"192.168.1.1",33326,6,2354,6,2354,0,0
"192.168.1.1",33338,8,3238,8,3238,0,0
"192.168.1.1",33341,2,884,2,884,0,0
"192.168.1.1",33353,2,884,2,884,0,0
"192.168.1.1",33358,2,884,2,884,0,0
"192.168.1.1",33366,2,884,2,884,0,0
"192.168.1.1",33386,2,884,2,884,0,0
"192.168.1.1",33394,2,884,2,884,0,0
"192.168.1.1",33395,2,884,2,884,0,0
"192.168.1.1",33415,2,884,2,884,0,0
"192.168.1.1",33421,6,2354,6,2354,0,0
"192.168.1.1",33427,1,92,1,92,0,0
"192.168.1.1",33434,1,369,1,369,0,0
"192.168.1.1",33461,6,2354,6,2354,0,0
"192.168.1.1",33463,1,92,1,92,0,0
"192.168.1.1",33482,6,2354,6,2354,0,0
"192.168.1.1",33485,6,2354,6,2354,0,0
"192.168.1.1",33491,6,2354,6,2354,0,0
"192.168.1.1",33493,2,884,2,884,0,0
"192.168.1.1",33498,1,427,1,427,0,0
"192.168.1.1",33501,2,884,2,884,0,0
"192.168.1.1",33503,2,884,2,884,0,0
"192.168.1.1",33508,2,884,2,884,0,0
"192.168.1.1",33512,1,92,1,92,0,0
"192.168.1.1",33517,1,353,1,353,0,0
"192.168.1.1",33526,6,2354,6,2354,0,0
"192.168.1.1",33543,6,2354,6,2354,0,0
"192.168.1.1",33550,6,2354,6,2354,0,0
"192.168.1.1",33551,2,884,2,884,0,0
"192.168.1.1",33553,8,3238,8,3238,0,0
"192.168.1.1",33561,1,92,1,92,0,0
"192.168.1.1",33564,6,2354,6,2354,0,0
"192.168.1.1",33568,2,884,2,884,0,0
"192.168.1.1",33573,8,3238,8,3238,0,0
"192.168.1.1",33576,2,860,2,860,0,0
"192.168.1.1",33588,2,884,2,884,0,0
"192.168.1.1",33589,6,2354,6,2354,0,0
"192.168.1.1",33592,6,2354,6,2354,0,0
"192.168.1.1",33604,1,92,1,92,0,0
"192.168.1.1",33605,1,92,1,92,0,0
"192.168.1.1",33611,2,884,2,884,0,0
"192.168.1.1",33614,1,92,1,92,0,0
"192.168.1.1",33623,6,2354,6,2354,0,0
"192.168.1.1",33629,6,2354,6,2354,0,0
"192.168.1.1",33631,2,884,2,884,0,0
"192.168.1.1",33638,2,884,2,884,0,0
"192.168.1.1",33639,1,92,1,92,0,0
"192.168.1.1",33641,8,3238,8,3238,0,0
"192.168.1.1",33657,2,884,2,884,0,0
"192.168.1.1",33660,6,2354,6,2354,0,0
"192.168.1.1",33679,6,2354,6,2354,0,0
"192.168.1.1",33685,1,310,1,310,0,0
"192.168.1.1",33692,1,310,1,310,0,0
"192.168.1.1",33693,2,884,2,884,0,0
"192.168.1.1",33707,2,884,2,884,0,0
"192.168.1.1",33709,6,2354,6,2354,0,0
"192.168.1.1",33712,6,2354,6,2354,0,0
"192.168.1.1",33713,1,92,1,92,0,0
"192.168.1.1",33726,6,2354,6,2354,0,0
"192.168.1.1",33735,1,417,1,417,0,0
"192.168.1.1",33738,1,92,1,92,0,0
"192.168.1.1",33768,6,2354,6,2354,0,0
"192.168.1.1",33773,2,884,2,884,0,0
"192.168.1.1",33785,1,92,1,92,0,0
"192.168.1.1",33791,2,884,2,884,0,0
"192.168.1.1",33792,3,976,3,976,0,0
"192.168.1.1",33799,2,884,2,884,0,0
"192.168.1.1",33816,1,92,1,92,0,0
"192.168.1.1",33817,6,2354,6,2354,0,0
"192.168.1.1",33824,1,425,1,425,0,0
"192.168.1.1",33839,7,2664,7,2664,0,0
"192.168.1.1",33844,2,884,2,884,0,0
"192.168.1.1",33850,6,2354,6,2354,0,0
"192.168.1.1",33852,3,1253,3,1253,0,0
"192.168.1.1",33863,2,884,2,884,0,0
"192.168.1.1",33866,2,884,2,884,0,0
"192.168.1.1",33869,6,2354,6,2354,0,0
"192.168.1.1",33885,2,884,2,884,0,0
"192.168.1.1",33891,1,415,1,415,0,0
"192.168.1.1",33901,2,884,2,884,0,0
"192.168.1.1",33916,2,884,2,884,0,0
"192.168.1.1",33917,6,2354,6,2354,0,0
"192.168.1.1",33925,2,884,2,884,0,0
"192.168.1.1",33936,4,1768,4,1768,0,0
"192.168.1.1",33938,2,884,2,884,0,0
"192.168.1.1",33940,6,2354,6,2354,0,0
"192.168.1.1",33948,1,433,1,433,0,0
"192.168.1.1",33951,6,2354,6,2354,0,0
"192.168.1.1",33958,2,884,2,884,0,0
"192.168.1.1",33959,2,884,2,884,0,0
"192.168.1.1",33964,1,433,1,433,0,0
"192.168.1.1",33973,2,884,2,884,0,0
"192.168.1.1",33986,2,884,2,884,0,0
"192.168.1.1",33987,6,2354,6,2354,0,0
"192.168.1.1",33990,2,884,2,884,0,0
"192.168.1.1",33994,6,2354,6,2354,0,0
"192.168.1.1",33995,2,884,2,884,0,0
"192.168.1.1",34004,3,1246,3,1246,0,0
"192.168.1.1",34011,6,2354,6,2354,0,0
"192.168.1.1",34022,2,884,2,884,0,0
"192.168.1.1",34036,6,2354,6,2354,0,0
"192.168.1.1",34037,6,2354,6,2354,0,0
"192.168.1.1",34045,1,349,1,349,0,0
"192.168.1.1",34054,6,2354,6,2354,0,0
"192.168.1.1",34059,6,2354,6,2354,0,0
"192.168.1.1",34078,1,369,1,369,0,0
"192.168.1.1",34103,1,433,1,433,0,0
"192.168.1.1",34106,2,884,2,884,0,0
"192.168.1.1",34112,2,884,2,884,0,0
"192.168.1.1",34129,6,2354,6,2354,0,0
"192.168.1.1",34131,2,884,2,884,0,0
"192.168.1.1",34133,1,425,1,425,0,0
"192.168.1.1",34134,2,884,2,884,0,0
"192.168.1.1",34139,6,2354,6,2354,0,0
"192.168.1.1",34141,1,92,1,92,0,0
"192.168.1.1",34157,1,92,1,92,0,0
"192.168.1.1",34162,6,2354,6,2354,0,0
"192.168.1.1",34167,2,884,2,884,0,0
"192.168.1.1",34168,1,92,1,92,0,0
"192.168.1.1",34174,1,92,1,92,0,0
"192.168.1.1",34176,1,92,1,92,0,0
"192.168.1.1",34182,2,884,2,884,0,0
"192.168.1.1",34188,6,2354,6,2354,0,0
"192.168.1.1",34189,1,415,1,415,0,0
"192.168.1.1",34190,2,884,2,884,0,0
"192.168.1.1",34201,1,417,1,417,0,0
"192.168.1.1",34210,2,884,2,884,0,0
"192.168.1.1",34212,1,427,1,427,0,0
"192.168.1.1",34216,6,2354,6,2354,0,0
"192.168.1.1",34218,1,425,1,425,0,0
"192.168.1.1",34221,2,884,2,884,0,0
"192.168.1.1",34242,2,884,2,884,0,0
"192.168.1.1",34250,6,2354,6,2354,0,0
"192.168.1.1",34277,2,884,2,884,0,0
"192.168.1.1",34309,1,369,1,369,0,0
"192.168.1.1",34312,1,92,1,92,0,0
"192.168.1.1",34319,1,92,1,92,0,0
"192.168.1.1",34321,6,2354,6,2354,0,0
"192.168.1.1",34323,1,417,1,417,0,0
"192.168.1.1",34326,2,884,2,884,0,0
"192.168.1.1",34337,2,884,2,884,0,0
"192.168.1.1",34339,3,1317,3,1317,0,0
"192.168.1.1",34341,2,884,2,884,0,0
"192.168.1.1",34346,6,2354,6,2354,0,0
"192.168.1.1",34350,2,884,2,884,0,0
"192.168.1.1",34352,6,2354,6,2354,0,0
"192.168.1.1",34362,1,417,1,417,0,0
"192.168.1.1",34382,6,2354,6,2354,0,0
"192.168.1.1",34390,6,2354,6,2354,0,0
"192.168.1.1",34393,6,2354,6,2354,0,0
"192.168.1.1",34403,2,884,2,884,0,0
"192.168.1.1",34418,6,2354,6,2354,0,0
"192.168.1.1",34428,6,2354,6,2354,0,0
"192.168.1.1",34435,1,92,1,92,0,0
"192.168.1.1",34444,1,433,1,433,0,0
"192.168.1.1",34446,1,92,1,92,0,0
"192.168.1.1",34447,6,2354,6,2354,0,0
"192.168.1.1",34448,1,415,1,415,0,0
"192.168.1.1",34451,1,425,1,425,0,0
"192.168.1.1",34462,2,884,2,884,0,0
"192.168.1.1",34467,2,884,2,884,0,0
"192.168.1.1",34470,6,2354,6,2354,0,0
"192.168.1.1",34476,12,4708,12,4708,0,0
"192.168.1.1",34479,6,2354,6,2354,0,0
"192.168.1.1",34483,2,884,2,884,0,0
"192.168.1.1",34486,6,2354,6,2354,0,0
"192.168.1.1",34494,2,884,2,884,0,0
"192.168.1.1",34495,1,92,1,92,0,0
"192.168.1.1",34517,6,2354,6,2354,0,0
