Address,Port,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"192.168.1.31",65182,260,278006,58,4929,202,273077
"192.168.1.31",65183,19,2354,9,1174,10,1180
"192.168.1.31",65184,26,2297,12,1234,14,1063
"192.168.1.31",65189,20,1562,14,877,6,685
"192.168.1.31",65190,27,6617,15,1434,12,5183
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65203,1,86,1,86,0,0
"192.168.1.31",65204,16,2337,9,1145,7,1192
"192.168.1.31",65209,25,7771,13,2750,12,5021
"192.168.1.31",65216,37,10061,19,2410,18,7651
"192.168.1.31",65218,14,1872,8,1012,6,860
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65220,1,86,1,86,0,0
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65221,1,86,1,86,0,0
"192.168.1.31",65222,18,2458,10,1200,8,1258
"192.168.1.31",65223,18,2458,10,1200,8,1258
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65224,1,86,1,86,0,0
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65225,1,86,1,86,0,0
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65226,1,86,1,86,0,0
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65227,1,86,1,86,0,0
"192.168.1.31",65228,320,373041,57,4350,263,368691
"192.168.1.31",65229,19,2353,9,1173,10,1180
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65238,1,86,1,86,0,0
"192.168.1.31",65239,22,2702,12,1312,10,1390
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65246,1,86,1,86,0,0
"192.168.1.31",65247,18,2460,10,1202,8,1258
"192.168.1.31",65249,33,4474,17,2599,16,1875
"192.168.1.31",65263,41,10924,21,3137,20,7787
"192.168.1.31",65268,26,8546,14,2932,12,5614
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65269,1,86,1,86,0,0
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65270,1,86,1,86,0,0
"192.168.1.31",65271,20,2579,11,1255,9,1324
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65272,1,86,1,86,0,0
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65273,1,86,1,86,0,0
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65274,1,86,1,86,0,0
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65275,1,86,1,86,0,0
"192.168.1.31",65276,69,41142,23,2406,46,38736
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65277,1,86,1,86,0,0
"192.168.1.31",65278,118,93751,40,3582,78,90169
"192.168.1.31",65279,19,2354,9,1174,10,1180
"192.168.1.31",65280,18,2300,8,1120,10,1180
"192.168.1.31",65287,10,1809,6,563,4,1246
"192.168.1.31",65288,10,1392,6,563,4,829
"192.168.1.31",65289,10,1006,6,543,4,463
"192.168.1.31",65298,20,1562,14,877,6,685
"192.168.1.31",65299,27,6616,15,1434,12,5182
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65306,1,86,1,86,0,0
"192.168.1.31",65307,14,2216,8,1090,6,1126
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65308,1,86,1,86,0,0
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65309,1,86,1,86,0,0
"192.168.1.31",65310,161,169428,33,3168,128,166260
"192.168.1.31",65311,19,2353,9,1173,10,1180
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65312,1,86,1,86,0,0
