conn_#,host_a,host_b,port_a,port_b,first_packet,last_packet,total_packets_a2b,total_packets_b2a,resets_sent_a2b,resets_sent_b2a,ack_pkts_sent_a2b,ack_pkts_sent_b2a,pure_acks_sent_a2b,pure_acks_sent_b2a,sack_pkts_sent_a2b,sack_pkts_sent_b2a,dsack_pkts_sent_a2b,dsack_pkts_sent_b2a,max_sack_blks/ack_a2b,max_sack_blks/ack_b2a,unique_bytes_sent_a2b,unique_bytes_sent_b2a,actual_data_pkts_a2b,actual_data_pkts_b2a,actual_data_bytes_a2b,actual_data_bytes_b2a,rexmt_data_pkts_a2b,rexmt_data_pkts_b2a,rexmt_data_bytes_a2b,rexmt_data_bytes_b2a,zwnd_probe_pkts_a2b,zwnd_probe_pkts_b2a,zwnd_probe_bytes_a2b,zwnd_probe_bytes_b2a,outoforder_pkts_a2b,outoforder_pkts_b2a,pushed_data_pkts_a2b,pushed_data_pkts_b2a,SYN/FIN_pkts_sent_a2b,SYN/FIN_pkts_sent_b2a,req_1323_ws/ts_a2b,req_1323_ws/ts_b2a,adv_wind_scale_a2b,adv_wind_scale_b2a,req_sack_a2b,req_sack_b2a,sacks_sent_a2b,sacks_sent_b2a,urgent_data_pkts_a2b,urgent_data_pkts_b2a,urgent_data_bytes_a2b,urgent_data_bytes_b2a,mss_requested_a2b,mss_requested_b2a,max_segm_size_a2b,max_segm_size_b2a,min_segm_size_a2b,min_segm_size_b2a,avg_segm_size_a2b,avg_segm_size_b2a,max_win_adv_a2b,max_win_adv_b2a,min_win_adv_a2b,min_win_adv_b2a,zero_win_adv_a2b,zero_win_adv_b2a,avg_win_adv_a2b,avg_win_adv_b2a,initial_window_bytes_a2b,initial_window_bytes_b2a,initial_window_pkts_a2b,initial_window_pkts_b2a,ttl_stream_length_a2b,ttl_stream_length_b2a,missed_data_a2b,missed_data_b2a,truncated_data_a2b,truncated_data_b2a,truncated_packets_a2b,truncated_packets_b2a,data_xmit_time_a2b,data_xmit_time_b2a,idletime_max_a2b,idletime_max_b2a,hardware_dups_a2b,hardware_dups_b2a,throughput_a2b,throughput_b2a,RTT_samples_a2b,RTT_samples_b2a,RTT_min_a2b,RTT_min_b2a,RTT_max_a2b,RTT_max_b2a,RTT_avg_a2b,RTT_avg_b2a,RTT_stdev_a2b,RTT_stdev_b2a,RTT_from_3WHS_a2b,RTT_from_3WHS_b2a,RTT_full_sz_smpls_a2b,RTT_full_sz_smpls_b2a,RTT_full_sz_min_a2b,RTT_full_sz_min_b2a,RTT_full_sz_max_a2b,RTT_full_sz_max_b2a,RTT_full_sz_avg_a2b,RTT_full_sz_avg_b2a,RTT full_sz_stdev_a2b,RTT_full_sz_stdev_b2a,post-loss_acks_a2b,post-loss_acks_b2a,ambiguous_acks_a2b,ambiguous_acks_b2a,RTT_min_(last)_a2b,RTT_min_(last)_b2a,RTT_max_(last)_a2b,RTT_max_(last)_b2a,RTT_avg_(last)_a2b,RTT_avg_(last)_b2a,RTT_sdv_(last)_a2b,RTT_sdv_(last)_b2a,segs_cum_acked_a2b,segs_cum_acked_b2a,duplicate_acks_a2b,duplicate_acks_b2a,triple_dupacks_a2b,triple_dupacks_b2a,max_#_retrans_a2b,max_#_retrans_b2a,min_retr_time_a2b,min_retr_time_b2a,max_retr_time_a2b,max_retr_time_b2a,avg_retr_time_a2b,avg_retr_time_b2a,sdv_retr_time_a2b,sdv_retr_time_b2a,

10,192.168.1.31,62.165.155.56,63269,80,1700409433.258696 , 1700409493.271552 ,              6,              4,              0,              0,              5,              4,              3,              1,              0,              0,              0,              0,              0,              0,            282,            268,              1,              1,            282,            268,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/1,            1/1,            Y/N,            Y/N,              8,              7,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            282,            268,            282,            268,            281,            267,         262656,          64128,         262400,          64128,              0,              0,         262502,          64128,            282,            268,              1,              1,            282,            268,              0,              0,              0,              0,              0,              0,          0.000,          0.000,        59956.8,        60006.2,              0,              0,              5,              4,              3,              3,            2.3,            0.0,            3.1,           46.7,            2.7,           15.6,            0.4,           26.9,            3.1,            0.0,              2,              2,            2.7,            0.0,            3.1,            0.1,            2.9,            0.1,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
11,192.168.1.31,34.36.232.77,62419,443,1700409438.519717 , 1700424119.729775 ,            987,            988,              0,              0,            987,            988,            498,            489,              0,              0,              0,              0,              0,              0,          21027,          21780,            489,            499,          21027,          21780,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,            489,            499,            0/0,            0/0,            N/N,            N/N,              0,              0,              N,              N,              0,              0,              0,              0,              0,              0,              0,              0,             43,            222,             43,             40,             42,             43,           1025,            268,           1020,            268,              0,              0,           1022,            268,             43,              0,              1,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,      14681.133,      14681.133,        31052.7,        31103.9,              0,              0,              1,              1,            489,            498,            1.5,            0.0,           20.4,           55.4,            7.7,           45.2,            1.8,            3.2,            0.0,            0.0,            489,              9,            1.5,           43.6,           20.4,           54.8,            7.7,           50.2,            1.8,            4.2,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              1,              0,              0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
12,192.168.1.31,62.165.159.8,63243,443,1700409438.768227 , 1700409468.766006 ,              3,              4,              0,              0,              3,              4,              1,              2,              0,              1,              0,              1,              0,              1,              1,             24,              1,              1,              1,             24,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,            0/1,            0/1,            N/N,            N/N,              0,              0,              N,              N,              0,              1,              0,              0,              0,              0,              0,              0,              1,             24,              1,             24,              0,             23,           1021,            501,           1021,            501,              0,              0,           1021,            501,              1,              0,              1,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,        29996.7,        29995.2,              0,              0,              0,              1,              2,              2,            1.1,            0.0,            1.3,            0.3,            1.2,            0.1,            0.0,            0.0,            0.0,            0.0,              2,              1,            1.1,            0.0,            1.3,            0.0,            1.2,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              1,              0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
13,192.168.1.31,155.133.252.26,63270,443,1700409440.848108 , 1700409502.652381 ,             50,            143,              0,              0,             49,            143,             39,              8,              0,              1,              0,              1,              0,              1,           1641,         175321,              9,            133,           1642,         175321,              1,              0,              1,              0,              0,              0,              0,              0,              0,              0,              8,             39,            1/1,            1/1,            Y/N,            Y/N,              8,              8,              Y,              Y,              0,              1,              0,              0,              0,              0,           1460,           1460,            517,           1460,              1,             34,            182,           1318,         262656,          42240,         262144,          42240,              0,              0,         262598,          42240,            517,           4494,              1,              4,           1641,         175321,              0,              0,              0,              0,              0,              0,         61.558,          1.488,        59948.8,        60010.4,              0,              0,             27,           2837,             10,             40,            6.0,            0.0,           48.4,           54.8,           13.8,            2.2,           13.2,            9.8,            7.2,            0.1,              2,              2,            7.2,            0.1,           18.5,            0.1,           12.8,            0.1,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,             95,              1,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
14,192.168.1.31,23.52.29.119,63271,443,1700409441.699 , 1700409471.187778 ,             11,             16,              1,              0,             10,             16,              4,              4,              0,              0,              0,              0,              0,              0,           1417,           7298,              4,             10,           1417,           7298,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              4,              8,            1/1,            1/1,            Y/N,            Y/N,              8,              7,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            523,           1460,             74,             24,            354,            729,         262656,          64128,         262144,          64128,              0,              0,         236339,          64128,            517,             99,              1,              1,           1418,           7298,              1,              0,              0,              0,              0,              0,          0.079,         30.142,        30046.0,        30053.3,              0,              0,             47,            242,              6,              6,            6.9,            0.0,            7.2,           29.4,            7.0,            4.9,            0.1,           12.0,            7.0,            0.0,              2,              1,            7.0,            0.0,            7.2,            0.0,            7.1,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              5,              1,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
15,192.168.1.31,62.183.170.50,63272,80,1700409441.81409 , 1700409524.690589 ,              8,              6,              0,              0,              7,              6,              4,              2,              0,              0,              0,              0,              0,              0,            488,           1778,              2,              2,            488,           1778,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              2,              2,            1/1,            1/1,            Y/N,            Y/N,              8,              7,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            247,            889,            241,            889,            243,            888,         262656,          64128,         261888,          64128,              0,              0,         262436,          64128,            247,            889,              1,              1,            488,           1778,              0,              0,              0,              0,              0,              0,          0.747,          0.747,        82810.6,        82856.9,              0,              0,              6,             21,              4,              4,            1.1,            0.0,            2.2,           47.9,            1.6,           23.2,            0.5,           26.8,            2.2,            0.0,              2,              2,            1.4,            0.0,            2.2,            0.0,            1.8,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
16,192.168.1.31,35.186.224.25,63260,443,1700409441.476922 , 1700409556.312432 ,              5,              4,              0,              0,              5,              4,              1,              3,              0,              3,              0,              3,              0,              1,              1,              0,              3,              0,              3,              0,              2,              0,              2,              0,              0,              0,              0,              0,              0,              0,              0,              0,            0/1,            0/1,            N/N,            N/N,              0,              0,              N,              N,              0,              3,              0,              0,              0,              0,              0,              0,              1,              0,              1,              0,              0,              0,           1022,            261,           1022,            261,              0,              0,           1022,            261,              1,              0,              1,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,         90.015,          0.000,        45008.7,        45008.7,              0,              0,              0,              0,              2,              1,            1.4,            0.0,            1.5,            0.0,            1.5,            0.0,            0.0,            0.0,            0.0,            0.0,              2,              1,            1.4,            0.0,            1.5,            0.0,            1.5,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              2,              0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
17,192.168.1.31,162.254.198.15,63273,443,1700409441.729657 , 1700409502.945879 ,             58,            122,              0,              0,             57,            122,             41,              2,              0,              1,              0,              1,              0,              1,           3065,         140113,             15,            118,           3066,         140113,              1,              0,              1,              0,              0,              0,              0,              0,              0,              0,             14,             49,            1/1,            1/1,            Y/N,            Y/N,              8,              8,              Y,              Y,              0,              1,              0,              0,              0,              0,           1460,           1460,            999,           1460,              1,             17,            204,           1187,         262656,          42240,         261376,          42240,              0,              0,         262498,          42240,            675,           4096,              1,              3,           3065,         140113,              0,              0,              0,              0,              0,              0,         60.827,          0.803,        60011.6,        60018.2,              0,              0,             50,           2289,             16,             42,            7.0,            0.0,           49.1,           49.5,           17.4,            2.8,           13.9,           10.5,            7.1,            0.1,              2,              2,            7.1,            0.1,           49.1,            0.1,           28.1,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,             78,              1,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
18,192.168.1.31,155.133.252.20,63274,443,1700409441.730097 , 1700409502.906730 ,             33,             48,              0,              0,             32,             48,             17,              2,              0,              1,              0,              1,              0,              1,           1941,          37533,             14,             44,           1942,          37533,              1,              0,              1,              0,              0,              0,              0,              0,              0,              0,             13,             29,            1/1,            1/1,            Y/N,            Y/N,              8,              8,              Y,              Y,              0,              1,              0,              0,              0,              0,           1460,           1460,            517,           1460,              1,             38,            138,            853,         262656,          42240,         261376,          42240,              0,              0,         262456,          42240,            517,           4495,              1,              4,           1941,          37533,              0,              0,              0,              0,              0,              0,         60.812,          0.776,        60013.8,        60021.1,              0,              0,             32,            614,             15,             18,            6.9,            0.0,           45.5,           52.8,           17.9,            8.1,           11.3,           18.7,            7.0,            0.0,              2,              2,            7.0,            0.0,            9.9,            0.0,            8.4,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,             28,              1,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
19,192.168.1.31,151.101.246.248,63247,443,1700409443.384210 , 1700410466.184655 ,           1954,          12489,              1,              0,           1954,          12489,           1927,             26,            709,             21,             37,             21,              4,              1,           1805,       17816567,             25,          12462,           1825,       18129656,             20,            216,             20,         313089,              0,              0,              0,              0,              0,           1648,              4,            742,            0/1,            0/1,            N/N,            N/N,              0,              0,              N,              N,            709,             21,              0,              0,              0,              0,              0,              0,            451,           1456,              1,             31,             72,           1454,          16504,            298,          15202,            290,              0,              0,          16492,            295,              1,              0,              1,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,       1020.973,        904.993,        45017.1,        45017.5,              0,              0,              2,          17419,              6,           1412,            1.4,            0.0,           12.1,            0.4,            3.2,            0.0,            4.3,            0.0,            0.0,            0.0,              2,           1403,            1.5,            0.0,           12.1,            0.4,            6.8,            0.0,            0.0,            0.0,              0,             32,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,          10802,             21,            477,              4,             15,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
