srcip,srcport,dstip,dstport,proto,duration
130.233.145.193,33094.0,13.33.76.166,443.0,6.0,275139224.0
130.233.226.86,2048.0,130.233.145.193,21930.0,1.0,0.0
130.233.145.193,39126.0,216.58.207.227,443.0,6.0,56319.0
130.233.145.193,48070.0,52.85.241.73,443.0,6.0,
130.233.145.193,44244.0,130.233.227.12,111.0,6.0,1021.0
,60050.0,151.101.85.111,443.0,6.0,23826.0
130.233.145.90,138.0,130.233.145.255,138.0,17.0,0.0
130.233.145.53,138.0,130.233.145.255,138.0,17.0,0.0
130.233.226.86,2048.0,130.233.145.193,,1.0,0.0
130.233.226.86,2048.0,130.233.145.193,40705.0,1.0,0.0
130.233.145.193,39390.0,52.40.41.239,443.0,6.0,61524777.0
130.233.226.86,2048.0,130.233.145.193,61059.0,1.0,0.0
,46676.0,208.123.73.73,443.0,6.0,71128313.0
130.233.145.193,53436.0,216.58.207.227,443.0,6.0,576317009.0
130.233.226.86,41940.0,130.233.145.193,10050.0,,1798.0
130.233.226.86,2048.0,130.233.145.193,33935.0,1.0,0.0
130.233.145.193,59718.0,130.233.227.12,111.0,17.0,404.0
130.233.226.86,48622.0,130.233.145.193,10050.0,6.0,
130.233.145.157,57621.0,130.233.145.255,57621.0,17.0,570143367.0
130.233.226.86,2048.0,130.233.145.193,58444.0,,
13.234.221.187,2048.0,130.233.145.193,,1.0,0.0
130.233.226.86,2048.0,130.233.145.193,57596.0,1.0,0.0
130.233.145.193,0.0,130.233.226.86,52087.0,1.0,0.0
130.233.145.71,138.0,130.233.145.255,138.0,17.0,0.0
130.233.145.193,58584.0,52.16.160.11,443.0,6.0,28436591.0
130.233.145.193,51826.0,23.42.154.185,443.0,6.0,116129969.0
130.233.145.193,37752.0,93.184.220.113,443.0,6.0,50937.0
130.233.145.193,37472.0,130.233.227.12,635.0,17.0,348.0
130.233.145.193,51658.0,130.233.227.12,635.0,17.0,450.0
130.233.145.193,0.0,130.233.226.86,46309.0,1.0,0.0
130.233.145.193,42288.0,130.233.226.86,10051.0,6.0,2439.0
130.233.226.86,2048.0,130.233.145.193,28259.0,1.0,0.0
130.233.145.193,838.0,130.233.227.12,635.0,17.0,401.0
130.233.145.193,0.0,54.168.37.128,25492.0,1.0,0.0
130.233.145.193,46614.0,151.101.84.175,443.0,6.0,5680112.0
130.233.145.179,17500.0,130.233.145.255,17500.0,17.0,
130.233.145.193,0.0,130.233.226.86,23978.0,1.0,0.0
130.233.145.193,,130.233.226.86,10051.0,6.0,2379.0
130.233.145.193,,157.240.194.27,443.0,6.0,28980.0
130.233.145.193,45207.0,130.233.227.12,111.0,6.0,2178.0
130.233.145.193,0.0,130.233.226.86,,1.0,0.0
130.233.145.193,39576.0,130.233.227.12,635.0,17.0,420.0
130.233.145.193,,185.29.133.199,443.0,6.0,197840720.0
130.233.145.193,771.0,130.233.251.5,36834.0,1.0,506940.0
,39564.0,216.58.207.195,443.0,6.0,284424409.0
130.233.145.193,,130.233.227.12,,6.0,
13.234.221.163,2048.0,130.233.145.193,47482.0,1.0,0.0
130.233.145.193,56698.0,130.233.226.86,10051.0,6.0,5142.0
130.233.145.193,57974.0,31.13.72.8,443.0,6.0,555071977.0
,2048.0,130.233.145.193,598.0,1.0,0.0
130.233.226.86,2048.0,130.233.145.193,48369.0,1.0,0.0
130.233.145.193,0.0,130.233.226.86,42753.0,1.0,0.0
130.233.226.86,2048.0,130.233.145.193,21764.0,1.0,0.0
130.233.226.86,2048.0,130.233.145.193,51437.0,1.0,0.0
130.233.145.193,44688.0,195.8.215.224,443.0,6.0,1203500.0
130.233.145.187,137.0,130.233.145.255,137.0,17.0,109968592.0
130.233.145.193,48933.0,130.233.227.12,111.0,17.0,733.0
130.233.145.193,59548.0,130.233.227.12,111.0,17.0,423.0
130.233.145.193,56772.0,130.233.226.86,10051.0,6.0,3850.0
130.233.145.193,58936.0,140.109.20.229,443.0,6.0,8288425.0
130.233.145.173,138.0,130.233.145.255,138.0,17.0,0.0
130.233.145.193,39760.0,93.184.220.66,443.0,6.0,116184469.0
130.233.226.86,2048.0,130.233.145.193,13006.0,,0.0
130.233.145.12,137.0,130.233.145.255,137.0,17.0,1500846.0
130.233.145.193,0.0,130.233.226.86,4969.0,1.0,0.0
130.233.145.193,43036.0,13.33.96.154,80.0,,158528958.0
130.233.145.193,0.0,13.234.209.251,,1.0,
130.233.145.193,46652.0,151.101.84.175,443.0,6.0,5032165.0
130.233.145.193,53306.0,,80.0,,1032227.0
130.233.145.94,138.0,130.233.145.255,138.0,17.0,92846227.0
130.233.145.193,50110.0,130.233.251.5,53.0,17.0,
130.233.145.193,33604.0,192.0.73.2,443.0,6.0,32568.0
130.233.145.193,57410.0,130.233.227.12,111.0,6.0,1054.0
130.233.226.86,2048.0,130.233.145.193,43011.0,,
130.233.145.193,52640.0,52.114.6.46,443.0,6.0,6996592.0
