Date,Price (USD)
01/23/2023,11872.54
01/20/2023,11619.03
01/19/2023,11295.67
01/18/2023,11410.29
01/17/2023,11557.19
01/13/2023,11541.48
01/12/2023,11459.61
01/11/2023,11402.52
01/10/2023,11205.78
01/09/2023,11108.44
01/06/2023,11040.35
01/05/2023,10741.22
01/04/2023,10914.8
01/03/2023,10862.64
12/30/2022,10939.76
12/29/2022,10951.05
12/28/2022,10679.34
12/27/2022,10822.51
12/23/2022,10985.45
12/22/2022,10956.14
12/21/2022,11235.88
12/20/2022,11072.42
12/19/2022,11084.59
12/16/2022,11243.72
12/15/2022,11345.22
12/14/2022,11740.92
12/13/2022,11834.21
12/12/2022,11706.44
12/09/2022,11563.33
12/08/2022,11637.5
12/07/2022,11497.39
12/06/2022,11549.69
12/05/2022,11786.8
12/02/2022,11994.26
12/01/2022,12041.89
11/30/2022,12030.06
11/29/2022,11503.45
11/28/2022,11587.75
11/25/2022,11756.03
11/23/2022,11838.72
11/22/2022,11724.84
11/21/2022,11553.45
11/18/2022,11677.02
11/17/2022,11676.86
11/16/2022,11699.09
11/15/2022,11871.15
11/14/2022,11700.94
11/11/2022,11817.01
11/10/2022,11605.96
11/09/2022,10797.55
11/08/2022,11059.5
11/07/2022,10977
11/04/2022,10857.03
11/03/2022,10690.6
11/02/2022,10906.34
11/01/2022,11288.95
10/31/2022,11405.57
10/28/2022,11546.21
10/27/2022,11191.63
10/26/2022,11405.9
10/25/2022,11669.99
10/24/2022,11430.26
10/21/2022,11310.33
10/20/2022,11046.71
10/19/2022,11103.38
10/18/2022,11147.74
10/17/2022,11062.53
10/14/2022,10692.06
10/13/2022,11033.58
10/12/2022,10785.62
10/11/2022,10791.35
10/10/2022,10926.97
10/07/2022,11039.47
10/06/2022,11485.5
10/05/2022,11573.18
10/04/2022,11582.54
10/03/2022,11229.73
09/30/2022,10971.22
09/29/2022,11164.78
09/28/2022,11493.83
09/27/2022,11271.75
09/26/2022,11254.11
09/23/2022,11311.24
09/22/2022,11501.65
09/21/2022,11637.79
09/20/2022,11851.54
09/19/2022,11953.27
09/16/2022,11861.38
09/15/2022,11927.49
09/14/2022,12134.4
09/13/2022,12033.62
09/12/2022,12739.72
09/09/2022,12588.29
09/08/2022,12321.19
09/07/2022,12259.39
09/06/2022,12011.31
09/02/2022,12098.44
09/01/2022,12274.62
08/31/2022,12272.03
08/30/2022,12342.7
08/29/2022,12484.32
08/26/2022,12605.17
08/25/2022,13143.58
08/24/2022,12917.86
08/23/2022,12881.79
08/22/2022,12890.54
08/19/2022,13242.9
08/18/2022,13505.99
08/17/2022,13470.86
08/16/2022,13635.21
08/15/2022,13667.18
08/12/2022,13565.87
08/11/2022,13291.99
08/10/2022,13378.32
08/09/2022,13008.17
08/08/2022,13159.16
08/05/2022,13207.69
08/04/2022,13311.04
08/03/2022,13253.26
08/02/2022,12901.6
08/01/2022,12940.78
07/29/2022,12947.97
07/28/2022,12717.87
07/27/2022,12601.47
07/26/2022,12086.9
07/25/2022,12328.41
07/22/2022,12396.47
07/21/2022,12619.41
07/20/2022,12439.68
07/19/2022,12249.42
07/18/2022,11877.5
07/15/2022,11983.62
07/14/2022,11768.4
07/13/2022,11728.53
07/12/2022,11744.99
07/11/2022,11860.28
07/08/2022,12125.69
07/07/2022,12109.05
07/06/2022,11852.59
07/05/2022,11779.9
07/01/2022,11585.68
06/30/2022,11503.72
06/29/2022,11658.26
06/28/2022,11637.77
06/27/2022,12008.24
06/24/2022,12105.85
06/23/2022,11697.68
06/22/2022,11527.71
06/21/2022,11546.76
06/17/2022,11265.99
06/16/2022,11127.57
06/15/2022,11593.77
06/14/2022,11311.69
06/13/2022,11288.32
06/10/2022,11832.82
06/09/2022,12269.78
06/08/2022,12615.13
06/07/2022,12711.68
06/06/2022,12599.63
06/03/2022,12548.03
06/02/2022,12892.89
06/01/2022,12548.36
05/31/2022,12642.1
05/27/2022,12681.42
05/26/2022,12276.79
05/25/2022,11943.93
05/24/2022,11769.84
05/23/2022,12034.28
05/20/2022,11835.62
05/19/2022,11875.63
05/18/2022,11928.31
05/17/2022,12564.1
05/16/2022,12243.58
05/13/2022,12387.4
05/12/2022,11945.5
05/11/2022,11967.56
05/10/2022,12345.86
05/09/2022,12187.72
05/06/2022,12693.53
05/05/2022,12850.55
05/04/2022,13535.71
05/03/2022,13089.9
05/02/2022,13075.85
04/29/2022,12854.8
04/28/2022,13456.06
04/27/2022,13003.36
04/26/2022,13009.71
04/25/2022,13533.22
04/22/2022,13356.87
04/21/2022,13720.45
04/20/2022,13998.53
04/19/2022,14210.26
04/18/2022,13910.76
04/14/2022,13893.21
04/13/2022,14217.29
04/12/2022,13940.24
04/11/2022,13990.21
04/08/2022,14327.26
04/07/2022,14531.81
04/06/2022,14498.88
04/05/2022,14820.64
04/04/2022,15159.58
04/01/2022,14861.21
03/31/2022,14838.49
03/30/2022,15071.55
03/29/2022,15239.32
03/28/2022,14987.4
03/25/2022,14754.31
03/24/2022,14765.69
03/23/2022,14447.55
03/22/2022,14654.33
03/21/2022,14376.09
03/18/2022,14420.08
03/17/2022,14118.6
03/16/2022,13956.78
03/15/2022,13458.56
03/14/2022,13046.64
03/11/2022,13301.83
03/10/2022,13591
03/09/2022,13742.2
03/08/2022,13267.6
03/07/2022,13319.38
03/04/2022,13837.83
03/03/2022,14035.21
03/02/2022,14243.69
03/01/2022,14005.99
02/28/2022,14237.81
02/25/2022,14189.16
02/24/2022,13974.67
02/23/2022,13509.43
02/22/2022,13870.53
02/18/2022,14009.54
02/17/2022,14171.74
02/16/2022,14603.64
02/15/2022,14620.82
02/14/2022,14268.59
02/11/2022,14253.84
02/10/2022,14705.64
02/09/2022,15056.96
02/08/2022,14747.03
02/07/2022,14571.25
02/04/2022,14694.35
02/03/2022,14501.11
02/02/2022,15139.74
02/01/2022,15019.68
01/31/2022,14930.05
01/28/2022,14454.61
01/27/2022,14003.11
01/26/2022,14172.76
01/25/2022,14149.12
01/24/2022,14509.58
01/21/2022,14438.4
01/20/2022,14846.46
01/19/2022,15047.84
01/18/2022,15210.76
01/14/2022,15611.59
01/13/2022,15495.62
01/12/2022,15905.1
01/11/2022,15844.12
01/10/2022,15614.43
01/07/2022,15592.19
01/06/2022,15765.36
01/05/2022,15771.78
01/04/2022,16279.73
01/03/2022,16501.77
12/31/2021,16320.08
12/30/2021,16429.1
12/29/2021,16491.01
12/28/2021,16488.66
12/27/2021,16567.5
12/23/2021,16308.21
12/22/2021,16180.14
12/21/2021,15986.28
12/20/2021,15627.64
12/17/2021,15801.46
12/16/2021,15863.94
12/15/2021,16289.59
12/14/2021,15914.9
