Address,Port,Packets,Bytes,Total Packets,Percent Filtered,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"192.168.1.177",56281,57,33870,0,0,22,2877,35,30993
"34.117.138.150",443,201,79888,0,0,109,67167,92,12721
"192.168.1.177",56143,11,735,0,0,6,426,5,309
"34.117.14.220",443,11,735,0,0,5,309,6,426
"192.168.1.177",56142,11,763,0,0,6,447,5,316
"34.160.144.191",443,96,24237,0,0,50,18907,46,5330
"192.168.1.177",56133,11,735,0,0,6,426,5,309
"34.117.237.239",443,237,33414,0,0,112,13682,125,19732
"192.168.1.177",56139,11,735,0,0,6,426,5,309
"34.117.65.55",443,127,17686,0,0,73,10911,54,6775
"192.168.1.177",56150,11,735,0,0,6,426,5,309
"34.149.100.209",443,182,99232,0,0,96,90152,86,9080
"192.168.1.177",56152,11,735,0,0,6,426,5,309
"34.110.207.168",443,591,95768,0,0,285,35727,306,60041
"192.168.1.177",56154,11,735,0,0,6,426,5,309
"34.107.141.31",443,11,735,0,0,5,309,6,426
"192.168.1.177",56147,11,763,0,0,6,447,5,316
"35.244.181.201",443,58,8959,0,0,28,6025,30,2934
"192.168.1.177",56132,9,655,0,0,6,447,3,208
"18.165.122.14",443,9,655,0,0,3,208,6,447
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56283,1,86,0,0,1,86,0,0
"2a04:4e42:3a::760",443,16,1376,0,0,0,0,16,1376
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56284,1,86,0,0,1,86,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56285,1,86,0,0,1,86,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56286,1,86,0,0,1,86,0,0
"192.168.1.177",56168,10,705,0,0,6,426,4,279
"159.69.148.181",443,10,705,0,0,4,279,6,426
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56287,1,86,0,0,1,86,0,0
"192.168.1.177",56288,44,21974,0,0,20,2389,24,19585
"151.101.246.248",443,4899,26097792,0,0,3156,25952127,1743,145665
"192.168.1.177",56289,45,22260,0,0,21,2443,24,19817
"192.168.1.177",56290,52,28194,0,0,22,2497,30,25697
"192.168.1.177",56291,54,29066,0,0,22,2497,32,26569
"192.168.1.177",56292,23,2093,0,0,11,1180,12,913
"192.168.1.177",56293,23,9847,0,0,12,2693,11,7154
"192.168.1.177",56191,9,627,0,0,6,426,3,201
"172.64.154.86",443,9,627,0,0,3,201,6,426
"192.168.1.177",56185,9,627,0,0,6,426,3,201
"108.156.22.78",443,19,1308,0,0,7,456,12,852
"192.168.1.177",56184,10,681,0,0,6,426,4,255
"192.168.1.177",56190,11,735,0,0,6,426,5,309
"3.214.211.112",443,11,735,0,0,5,309,6,426
"192.168.1.177",56193,5,362,0,0,2,154,3,208
"13.107.213.53",443,37,11086,0,0,20,9209,17,1877
"192.168.1.177",56172,9,627,0,0,6,426,3,201
"104.18.37.228",443,46,13959,0,0,20,7284,26,6675
"192.168.1.177",56294,20,8815,0,0,9,1903,11,6912
"192.168.1.62",50508,8,531,0,0,5,357,3,174
"192.168.1.177",56296,23,9851,0,0,12,2697,11,7154
"150.171.22.254",443,1,54,0,0,1,54,0,0
"192.168.1.177",56164,1,54,0,0,0,0,1,54
"13.107.6.254",443,1,54,0,0,1,54,0,0
"192.168.1.177",56169,1,54,0,0,0,0,1,54
"192.168.1.177",56298,22,9797,0,0,11,2643,11,7154
"192.168.1.177",56177,1,54,0,0,0,0,1,54
"192.168.1.177",50062,20,2452,0,0,12,1008,8,1444
"195.148.124.36",80,3040,21180134,0,0,2327,21130660,713,49474
"13.107.246.53",443,10,617,0,0,2,185,8,432
"192.168.1.177",56243,10,617,0,0,8,432,2,185
"192.168.1.177",50064,2867,10678105,0,0,522,36856,2345,10641249
"188.166.241.168",80,5477,21345668,0,0,4304,21261153,1173,84515
"52.108.8.254",443,31,10434,0,0,19,8540,12,1894
"192.168.1.177",56221,1,54,0,0,0,0,1,54
"52.97.200.146",443,1,54,0,0,1,54,0,0
"192.168.1.177",56216,1,54,0,0,0,0,1,54
"192.168.1.62",50531,8,531,0,0,5,357,3,174
"104.123.68.49",443,10,571,0,0,2,139,8,432
"192.168.1.177",56217,10,571,0,0,8,432,2,139
"20.189.173.9",443,1,54,0,0,1,54,0,0
"192.168.1.177",56219,1,54,0,0,0,0,1,54
"192.168.1.177",56304,326,1069336,0,0,105,13921,221,1055415
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56305,5,430,0,0,5,430,0,0
"2001:b28:f23f:9::852:438",443,5,430,0,0,0,0,5,430
"192.168.1.177",56307,36,21389,0,0,17,3469,19,17920
"192.168.1.177",56308,52,38822,0,0,22,3432,30,35390
"149.154.170.200",443,432,1401286,0,0,259,1377661,173,23625
"62.165.159.17",443,10,571,0,0,2,139,8,432
"192.168.1.177",56241,10,571,0,0,8,432,2,139
"204.79.197.222",443,26,10077,0,0,15,7758,11,2319
"192.168.1.177",56179,1,54,0,0,0,0,1,54
"104.123.68.50",443,10,571,0,0,2,139,8,432
"192.168.1.177",56187,10,571,0,0,8,432,2,139
"13.107.18.254",443,1,54,0,0,1,54,0,0
"192.168.1.177",56224,1,54,0,0,0,0,1,54
"192.168.1.177",56311,22,8058,0,0,8,1463,14,6595
"192.168.1.62",50541,8,531,0,0,5,357,3,174
"152.199.19.161",443,11,689,0,0,3,257,8,432
"192.168.1.177",56223,11,689,0,0,8,432,3,257
"192.168.1.62",50551,8,531,0,0,5,357,3,174
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56317,5,430,0,0,5,430,0,0
"2a05:d014:58f:6202::64",80,15,1290,0,0,0,0,15,1290
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56320,5,430,0,0,5,430,0,0
"2a05:d014:58f:6201::64",80,20,1720,0,0,0,0,20,1720
"192.168.1.62",50583,8,531,0,0,5,357,3,174
"192.168.1.177",56323,10,5853,0,0,5,1563,5,4290
"192.168.1.177",56324,10,5853,0,0,5,1563,5,4290
"192.168.1.177",56325,15,1268,0,0,8,553,7,715
"3.70.101.28",80,45,3804,0,0,21,2145,24,1659
"192.168.1.177",56326,24,6428,0,0,13,1326,11,5102
"3.70.101.28",443,76,19502,0,0,35,15416,41,4086
"192.168.1.177",56327,32,4653,0,0,17,2758,15,1895
"192.168.1.177",56149,43,2974,0,0,16,1226,27,1748
"192.168.1.177",56329,34,10824,0,0,17,3332,17,7492
"62.165.155.56",443,125,39636,0,0,64,28320,61,11316
"192.168.1.177",56330,32,10102,0,0,16,2951,16,7151
"192.168.1.177",56331,32,10095,0,0,15,2890,17,7205
"192.168.1.177",56333,2326,292168,0,0,897,129110,1429,163058
"192.168.1.62",50588,8,531,0,0,5,357,3,174
"192.168.1.62",50598,8,531,0,0,5,357,3,174
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56338,1,86,0,0,1,86,0,0
"2600:1901:1:c36::",443,38,3268,0,0,0,0,38,3268
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56339,1,86,0,0,1,86,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56340,1,86,0,0,1,86,0,0
"192.168.1.177",56341,379,42750,0,0,175,17110,204,25640
"192.168.1.177",56342,22,2675,0,0,11,1255,11,1420
"192.168.1.177",56346,40,10812,0,0,21,3137,19,7675
"192.168.1.62",50611,8,531,0,0,5,357,3,174
"192.168.1.62",50627,8,531,0,0,5,357,3,174
"192.168.1.177",56353,28,4005,0,0,15,2416,13,1589
"192.168.1.62",50652,8,531,0,0,5,357,3,174
"192.168.1.62",50674,8,531,0,0,5,357,3,174
"192.168.1.62",50688,8,531,0,0,5,357,3,174
"192.168.1.177",56364,14,6002,0,0,7,1063,7,4939
"95.216.67.183",443,80,23512,0,0,43,17982,37,5530
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56365,1,86,0,0,1,86,0,0
"2a01:4f8:271:134e::2",443,3,258,0,0,0,0,3,258
"192.168.1.177",56366,32,3218,0,0,17,1375,15,1843
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56368,1,86,0,0,1,86,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56369,1,86,0,0,1,86,0,0
"192.168.1.177",56370,1299,244145,0,0,560,71330,739,172815
"192.168.1.177",56371,42,4002,0,0,21,1805,21,2197
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56373,1,86,0,0,1,86,0,0
"2a03:2880:f213:c3:face:b00c:0:167",443,7,602,0,0,0,0,7,602
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56374,1,86,0,0,1,86,0,0
"192.168.1.177",56375,41,10025,0,0,22,4669,19,5356
"192.168.1.177",56376,21,5567,0,0,10,1491,11,4076
"192.168.1.177",56378,36,12131,0,0,19,6045,17,6086
"20.42.65.89",443,36,12131,0,0,17,6086,19,6045
"192.168.1.62",50694,8,531,0,0,5,357,3,174
"192.168.1.177",56381,37,6624,0,0,19,4038,18,2586
"192.168.1.62",50724,8,531,0,0,5,357,3,174
"192.168.1.62",50755,8,531,0,0,5,357,3,174
"192.168.1.177",56388,39,10780,0,0,20,3083,19,7697
"192.168.1.62",50770,8,531,0,0,5,357,3,174
"192.168.1.177",50152,3550,3744059,0,0,2451,3670880,1099,73179
"192.168.1.177",50076,94355,120370303,0,0,78814,119308622,15541,1061681
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56396,1,86,0,0,1,86,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56397,1,86,0,0,1,86,0,0
"192.168.1.177",56398,776,258297,0,0,388,220140,388,38157
