Address,Port,Packets,Bytes,Total Packets,Percent Filtered,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes,Country,City,AS Number,AS Organization
62.165.159.8,0,405,653142,0,0,265,635666,140,17476,,,,
62.165.159.41,0,528,989544,0,0,324,967054,204,22490,,,,
149.154.174.200,0,191,253380,0,0,116,240178,75,13202,,,,
94.130.182.214,0,238,71359,0,0,115,29943,123,41416,,,,
20.54.232.160,0,118,73028,0,0,53,42582,65,30446,,,,
142.132.209.32,0,150,42689,0,0,84,32346,66,10343,,,,
172.64.151.199,0,271,361779,0,0,157,342663,114,19116,,,,
91.107.148.202,0,66,18223,0,0,33,12250,33,5973,,,,
20.103.36.96,0,63,35693,0,0,31,30680,32,5013,,,,
185.179.237.109,0,405,155592,0,0,222,103061,183,52531,,,,
216.58.210.163,0,287,51000,0,0,147,37059,140,13941,,,,
193.176.144.22,0,20,1960,0,0,10,980,10,980,,,,
195.148.124.138,0,162,59447,0,0,73,49109,89,10338,,,,
194.0.36.1,0,20,1960,0,0,10,980,10,980,,,,
194.146.106.46,0,20,1960,0,0,10,980,10,980,,,,
213.239.220.37,0,156,34791,0,0,83,20731,73,14060,,,,
3.72.140.173,0,115,15070,0,0,53,9571,62,5499,,,,
52.184.216.226,0,24,5738,0,0,10,3653,14,2085,,,,
185.136.68.153,0,110,32423,0,0,65,24050,45,8373,,,,
68.232.34.52,0,63,35004,0,0,35,30840,28,4164,,,,
20.190.177.23,0,24,30089,0,0,10,21821,14,8268,,,,
52.184.217.20,0,42,11083,0,0,19,7191,23,3892,,,,
20.189.173.18,0,31,8788,0,0,17,5907,14,2881,,,,
104.84.152.10,0,29,32835,0,0,16,31558,13,1277,,,,
204.79.197.239,0,105,43882,0,0,58,33002,47,10880,,,,
95.101.142.225,0,50,9107,0,0,28,4260,22,4847,,,,
72.25.64.8,0,68,64569,0,0,33,31244,35,33325,,,,
255.255.255.255,0,3,1046,0,0,0,0,3,1046,,,,
23.60.21.15,0,20,3177,0,0,8,2051,12,1126,,,,
93.184.221.240,0,12,1819,0,0,5,861,7,958,,,,
34.117.121.53,0,69,19912,0,0,37,16487,32,3425,,,,
52.85.49.34,0,77,20239,0,0,39,15339,38,4900,,,,
51.124.78.146,0,66,317721,0,0,39,314630,27,3091,,,,
54.214.185.83,0,19,8432,0,0,9,5922,10,2510,,,,
34.120.158.37,0,657,2135460,0,0,414,2099044,243,36416,,,,
34.98.75.36,0,41,9096,0,0,21,6618,20,2478,,,,
216.58.210.174,0,2303,1353263,0,0,1429,936910,874,416353,,,,
216.58.209.163,0,627,914646,0,0,391,856210,236,58436,,,,
216.58.210.129,0,2185,7868658,0,0,1150,7780399,1035,88259,,,,
216.58.211.237,0,286,78208,0,0,151,39790,135,38418,,,,
216.58.211.238,0,461,160070,0,0,254,110981,207,49089,,,,
20.189.173.1,0,27,8571,0,0,13,5691,14,2880,,,,
18.192.231.252,0,41,7806,0,0,20,5927,21,1879,,,,
216.58.209.202,0,97,24919,0,0,48,16172,49,8747,,,,
216.58.209.197,0,3363,4597925,0,0,2277,4187402,1086,410523,,,,
216.58.211.228,0,98,52269,0,0,53,43203,45,9066,,,,
216.58.210.161,0,376,1216378,0,0,256,1201676,120,14702,,,,
216.58.211.225,0,290,224248,0,0,150,203520,140,20728,,,,
216.58.210.170,0,150,47282,0,0,77,35583,73,11699,,,,
54.77.70.157,0,35,8450,0,0,17,5798,18,2652,,,,
91.195.247.8,0,45,8413,0,0,23,5642,22,2771,,,,
104.18.14.101,0,39,3698,0,0,18,2094,21,1604,,,,
91.195.247.11,0,629,1317554,0,0,439,1286532,190,31022,,,,
104.76.24.246,0,71,130641,0,0,45,127833,26,2808,,,,
91.195.246.80,0,48,9171,0,0,25,5781,23,3390,,,,
130.233.231.219,0,21,9505,0,0,11,8397,10,1108,,,,
18.165.122.26,0,54,19977,0,0,25,16897,29,3080,,,,
34.160.90.233,0,149,37717,0,0,78,29190,71,8527,,,,
34.160.178.214,0,48,17929,0,0,26,13394,22,4535,,,,
18.165.140.127,0,737,1119105,0,0,443,1086352,294,32753,,,,
104.18.32.90,0,114,53208,0,0,52,46243,62,6965,,,,
18.165.140.68,0,268,484414,0,0,133,468406,135,16008,,,,
2.21.240.165,0,168,211080,0,0,95,203286,73,7794,,,,
23.61.233.27,0,177,39330,0,0,98,27712,79,11618,,,,
