NUTS2_ID,EU_Payments,Region
ITC1,4657089853.0,Piemonte
ITC2,311703530.0,Valle d'Aosta/Vallée d'Aoste
ITC3,1644295993.0,Liguria
ITC4,4523679476.0,Lombardia
ITF1,2433900867.0,Abruzzo
ITF2,1366077788.0,Molise
ITF3,23045624776.0,Campania
ITF4,18313760422.0,Puglia
ITF5,4145353057.0,Basilicata
ITF6,11193228673.0,Calabria
ITG1,22281468703.0,Sicilia
ITG2,7043364795.0,Sardegna
ITH1,695338460.0,Provincia Autonoma di Bolzano/Bozen
ITH2,611843236.0,Provincia Autonoma di Trento
ITH3,3736995373.0,Veneto
ITH4,1216381101.0,Friuli-Venezia Giulia
ITH5,3310371680.0,Emilia-Romagna
ITI1,3594108773.0,Toscana
ITI2,1799485121.0,Umbria
ITI3,1745820205.0,Marche
ITI4,4077919395.0,Lazio
LT00,17518167500.0,Lietuva
LU00,503776487.0,Luxembourg
LV00,11265062244.0,Latvija
MT00,1606501825.0,Malta
NL11,679132967.0,Groningen
NL12,562138376.0,Friesland
NL13,515469494.0,Drenthe
NL21,525828352.0,Overijssel
NL22,841337683.0,Gelderland
NL23,393928179.0,Flevoland
NL31,372919720.0,Utrecht
NL32,787037777.0,Noord-Holland
NL33,1062552422.0,Zuid-Holland
NL34,253453130.0,Zeeland
NL41,739100138.0,Noord-Brabant
NL42,685732101.0,Limburg
PL11,11722657550.0,Łódzkie
PL12,21296054200.0,Mazowieckie
PL21,13836051723.0,Małopolskie
PL22,16912535759.0,Śląskie
PL31,11458229269.0,Lubelskie
PL32,11364675030.0,Podkarpackie
PL33,6767420217.0,Świętokrzyskie
PL34,5941385921.0,Podlaskie
PL41,12740943475.0,Wielkopolskie
PL42,7610568331.0,Zachodniopomorskie
PL43,4642112602.0,Lubuskie
PL51,12548441526.0,Dolnośląskie
PL52,4053535153.0,Opolskie
PL61,8582206742.0,Kujawsko-Pomorskie
PL62,7801406035.0,Warmińsko-Mazurskie
PL63,9931548633.0,Pomorskie
PT11,32798040982.0,Norte
PT15,4060585611.0,Algarve
PT16,22301074999.0,Centro
PT17,12415728253.0,Lisboa
PT18,10829339127.0,Alentejo
PT20,5627284223.0,Região Autónoma dos Açores
PT30,3576702306.0,Região Autónoma da Madeira
RO11,5727900927.0,Nord-Vest
RO12,6106727303.0,Centru
RO21,8282026145.0,Nord-Est
RO22,6793235826.0,Sud-Est
RO31,6972597496.0,Sud - Muntenia
RO32,4836437672.0,Bucureşti - Ilfov
RO41,5133836184.0,Sud-Vest Oltenia
RO42,5251919499.0,Vest
SE11,465529847.0,Stockholm
SE12,1594393509.0,Östra Mellansverige
SE21,1033390514.0,Småland med öarna
SE22,1450927670.0,Sydsverige
SE23,1335716950.0,Västsverige
SE31,1213380086.0,Norra Mellansverige
SE32,842894558.0,Mellersta Norrland
SE33,1234268538.0,Övre Norrland
SI01,1882039768.0,Vzhodna Slovenija
SI02,1509917228.0,Zahodna Slovenija
SI03,3550431733.0,Zahodna Slovenija
SI04,1953664715.0,Zahodna Slovenija
SK01,2375195127.0,Bratislavský kraj
SK02,8529510006.0,Západné Slovensko
SK03,6788527687.0,Stredné Slovensko
SK04,7108900869.0,Východné Slovensko
UKC1,1388617610.0,Tees Valley and Durham
UKC2,1563580092.0,Northumberland and Tyne and Wear
UKD1,519444381.0,Cumbria
UKD3,1590429514.0,Greater Manchester
UKD4,844541039.0,Lancashire
UKD6,499152694.0,Cheshire
UKD7,2814383674.0,Merseyside
