NUTS2_ID,EU_Payments,Region
ITF1,533938883.0,Abruzzo
ITF2,370964500.0,Molise
ITF3,2928156464.0,Campania
ITF4,2811841735.0,Puglia
ITF5,965851364.0,Basilicata
ITF6,2204029521.0,Calabria
ITG1,3531951817.0,Sicilia
ITG2,1668178565.0,Sardegna
ITH1,309054454.0,Provincia Autonoma di Bolzano/Bozen
ITH2,228431592.0,Provincia Autonoma di Trento
ITH3,1148751920.0,Veneto
ITH4,316609549.0,Friuli-Venezia Giulia
ITH5,1135516789.0,Emilia-Romagna
ITI1,842052014.0,Toscana
ITI2,652540837.0,Umbria
ITI3,582512772.0,Marche
ITI4,889248492.0,Lazio
LT00,3373675843.0,Lietuva
LU00,215428557.0,Luxembourg
LV00,2255231825.0,Latvija
MT00,155269520.0,Malta
NL11,50974400.0,Groningen
NL12,100748498.0,Friesland
NL13,58887710.0,Drenthe
NL21,109603407.0,Overijssel
NL22,177630581.0,Gelderland
NL23,69185130.0,Flevoland
NL31,77214823.0,Utrecht
NL32,183092497.0,Noord-Holland
NL33,275165757.0,Zuid-Holland
NL34,42397570.0,Zeeland
NL41,212118802.0,Noord-Brabant
NL42,102388769.0,Limburg
PL11,1609939447.0,Łódzkie
PL12,2769458817.0,Mazowieckie
PL21,2294362804.0,Małopolskie
PL22,1261208150.0,Śląskie
PL31,2440978001.0,Lubelskie
PL32,1675354349.0,Podkarpackie
PL33,1379738661.0,Świętokrzyskie
PL34,1008638088.0,Podlaskie
PL41,1845434636.0,Wielkopolskie
PL42,610313211.0,Zachodniopomorskie
PL43,437574537.0,Lubuskie
PL51,1008441163.0,Dolnośląskie
PL52,547842036.0,Opolskie
PL61,1227588511.0,Kujawsko-Pomorskie
PL62,740809394.0,Warmińsko-Mazurskie
PL63,865209592.0,Pomorskie
PT11,4201980298.0,Norte
PT15,445084632.0,Algarve
PT16,4120720938.0,Centro
PT17,1308518135.0,Lisboa
PT18,1264394230.0,Alentejo
PT20,551994628.0,Região Autónoma dos Açores
PT30,373401458.0,Região Autónoma da Madeira
RO11,1811299729.0,Nord-Vest
RO12,1327873075.0,Centru
RO21,3419868205.0,Nord-Est
RO22,1852662249.0,Sud-Est
RO31,2408474885.0,Sud - Muntenia
RO32,937351589.0,Bucureşti - Ilfov
RO41,1913762958.0,Sud-Vest Oltenia
RO42,1062104431.0,Vest
SE11,73284062.0,Stockholm
SE12,717130143.0,Östra Mellansverige
SE21,535202304.0,Småland med öarna
SE22,756818308.0,Sydsverige
SE23,830760362.0,Västsverige
SE31,445106196.0,Norra Mellansverige
SE32,286230849.0,Mellersta Norrland
SE33,310955421.0,Övre Norrland
SI01,415830207.0,Vzhodna Slovenija
SI02,378008726.0,Zahodna Slovenija
SI03,654820618.0,Zahodna Slovenija
SI04,281093720.0,Zahodna Slovenija
SK01,225763823.0,Bratislavský kraj
SK02,1371525091.0,Západné Slovensko
SK03,850968308.0,Stredné Slovensko
SK04,939804226.0,Východné Slovensko
UKC1,143339632.0,Tees Valley and Durham
UKC2,187624311.0,Northumberland and Tyne and Wear
UKD1,135790750.0,Cumbria
UKD3,82023511.0,Greater Manchester
UKD4,227277256.0,Lancashire
UKD6,164066900.0,Cheshire
UKD7,65792202.0,Merseyside
UKE1,172884200.0,East Yorkshire and Northern Lincolnshire
UKE2,232123905.0,North Yorkshire
UKE3,191136749.0,South Yorkshire
UKE4,258124812.0,West Yorkshire
UKF1,366400120.0,Derbyshire and Nottinghamshire
UKF2,243012363.0,"Leicestershire, Rutland and Northamptonshire"
UKF3,238263623.0,Lincolnshire
UKG1,272319831.0,"Herefordshire, Worcestershire and Warwickshire"
UKG2,262486824.0,Shropshire and Staffordshire
UKG3,49670973.0,West Midlands
UKH1,557532376.0,East Anglia
UKH2,245878985.0,Bedfordshire and Hertfordshire
UKH3,260720832.0,Essex
UKI1,57798842.0,Inner London
UKI2,49819910.0,Outer London
UKJ1,394995412.0,"Berkshire, Buckinghamshire and Oxfordshire"
UKJ2,490512316.0,"Surrey, East and West Sussex"
UKJ3,314462551.0,Hampshire and Isle of Wight
UKJ4,285840286.0,Kent
UKK1,373458500.0,"Gloucestershire, Wiltshire and Bristol/Bath area"
UKK2,268116065.0,Dorset and Somerset
UKK3,250813849.0,Cornwall and Isles of Scilly
UKK4,342217503.0,Devon
UKL1,650509418.0,West Wales and The Valleys
UKL2,238246004.0,East Wales
UKM2,358551252.0,Eastern Scotland
UKM3,368836214.0,South Western Scotland
UKM5,177911601.0,North Eastern Scotland
UKM6,315303844.0,Highlands and Islands
UKN0,774819590.0,Northern Ireland
