1696157941, 200, 21427146, 200, 2313931
1696161541, 200, 6607329, 200, 587263
1696165141, 000, 0, 000, 0
1696168741, 200, 9686238, 200, 2595451
1696172341, 200, 19892397, 200, 2552324
1696175941, 200, 17606998, 200, 2451285
1696179541, 200, 16056743, 200, 1947939
1696183141, 200, 6710701, 200, 2254599
1696186741, 200, 19354490, 200, 2184968
1696190341, 200, 20559628, 200, 2580831
1696193941, 200, 22520623, 200, 2168325
1696197541, 200, 19429983, 200, 2185852
1696201141, 200, 19756086, 200, 2425463
1696204741, 200, 18010302, 200, 1068045
1696208341, 200, 6433621, 200, 1325331
1696211941, 200, 6493764, 200, 2345024
1696215541, 200, 21662689, 200, 1911643
1696219141, 200, 20380010, 200, 442974
1696222741, 200, 18102460, 200, 2362331
1696226341, 200, 15015114, 200, 940474
1696229941, 200, 6423346, 200, 2052025
1696233541, 200, 21015442, 200, 2541327
1696237141, 200, 19142353, 200, 2108003
1696240741, 200, 6571906, 200, 2489250
1696244341, 200, 16841050, 200, 1259835
1696247941, 200, 17862422, 200, 2055207
