203.246.146.19	173.114.22.116	1	1	8	0	1	32	1	1491925990.822493000	1491925990.822493000
203.246.146.19	93.43.234.158	1	1	8	0	1	32	1	1491924649.482952000	1491924649.482952000
71.205.22.177	203.246.146.19	1	1	0	0	1	32	1	1491924722.957271000	1491924722.957271000
207.50.0.60	203.246.146.19	1	1	0	0	1	32	1	1491924066.801449000	1491924066.801449000
203.246.146.19	212.4.250.146	1	1	8	0	1	32	1	1491925799.587424000	1491925799.587424000
203.246.146.19	92.110.233.232	1	1	8	0	1	32	1	1491924726.037127000	1491924726.037127000
203.246.146.19	90.185.86.59	1	1	8	0	1	32	1	1491924212.269769000	1491924212.269769000
203.246.146.19	78.46.23.18	1	1	8	0	1	32	1	1491923989.722984000	1491923989.722984000
77.75.71.68	163.35.81.57	17	1	12119	6889	1	134	1	1491924136.271447000	1491924136.271447000
36.240.140.63	133.60.190.40	6	1	44470	50348	5	300	1	1491923817.393206000	1491923832.405026000
203.246.146.19	93.82.222.79	1	1	8	0	1	32	1	1491925021.949618000	1491925021.949618000
65.50.64.214	203.246.146.19	1	1	0	0	1	32	1	1491924560.040394000	1491924560.040394000
203.246.146.19	200.48.124.165	1	1	8	0	1	32	1	1491925287.295605000	1491925287.295605000
203.246.132.35	218.204.14.192	17	1	61803	53	1	82	1	1491923057.502831000	1491923057.502831000
203.246.146.19	93.87.161.81	1	1	8	0	1	32	1	1491925607.645814000	1491925607.645814000
203.246.146.19	190.62.94.220	1	1	8	0	1	32	1	1491924226.639517000	1491924226.639517000
203.246.146.19	151.24.203.157	1	1	8	0	1	32	1	1491923727.044235000	1491923727.044235000
203.246.146.19	93.69.166.145	1	1	8	0	1	32	1	1491923076.046282000	1491923076.046282000
203.246.146.19	58.32.189.210	1	1	8	0	1	32	1	1491924085.283843000	1491924085.283843000
23.248.23.83	203.246.146.19	1	1	0	0	1	32	1	1491925294.282375000	1491925294.282375000
14.26.90.84	163.35.206.67	6	1	43857	23	1	40	1	1491923678.915888000	1491923678.915888000
163.35.93.18	202.133.195.109	6	1	49999	80	8	3275	1	1491926022.963146000	1491926023.005630000
203.246.146.19	79.174.229.163	1	1	8	0	1	32	1	1491924582.013448000	1491924582.013448000
124.0.186.8	203.246.146.19	1	1	0	0	1	32	1	1491924243.633067000	1491924243.633067000
203.246.146.19	81.111.227.201	1	1	8	0	1	32	1	1491924555.147215000	1491924555.147215000
203.246.146.19	84.57.25.172	1	1	8	0	1	32	1	1491926167.536672000	1491926167.536672000
115.73.200.87	203.246.146.19	1	1	0	0	1	32	1	1491925715.015349000	1491925715.015349000
203.246.146.19	101.181.89.156	1	1	8	0	1	32	1	1491924487.467960000	1491924487.467960000
203.246.146.19	69.141.149.153	1	1	8	0	1	32	1	1491924126.568700000	1491924126.568700000
203.246.146.19	66.5.91.28	1	1	8	0	1	32	1	1491923301.005578000	1491923301.005578000
117.88.145.151	133.234.77.155	6	1	10501	22	1	40	1	1491923950.710971000	1491923950.710971000
187.122.170.196	133.60.138.9	6	1	59985	23	1	44	1	1491926233.618829000	1491926233.618829000
203.246.146.19	109.164.182.198	1	1	8	0	1	32	1	1491924386.832362000	1491924386.832362000
201.78.81.215	133.234.36.24	6	1	37407	23	1	40	1	1491923761.039809000	1491923761.039809000
203.246.146.19	222.121.175.58	1	1	8	0	1	32	1	1491923902.912850000	1491923902.912850000
203.246.146.19	201.67.156.66	1	1	8	0	1	32	1	1491922981.085995000	1491922981.085995000
177.23.99.230	203.246.137.150	6	1	21561	23	1	44	1	1491923129.839343000	1491923129.839343000
203.246.146.19	98.8.85.41	1	1	8	0	1	32	1	1491924725.300204000	1491924725.300204000
203.246.146.19	138.0.159.5	1	1	8	0	1	32	1	1491922948.106475000	1491922948.106475000
203.246.146.19	88.131.58.147	1	1	8	0	1	32	1	1491926241.197559000	1491926241.197559000
203.246.146.19	87.31.225.92	1	1	8	0	1	32	1	1491926339.504047000	1491926339.504047000
189.251.97.127	150.51.36.243	6	1	24604	23	1	44	1	1491923477.763405000	1491923477.763405000
203.246.146.19	121.60.120.51	1	1	8	0	1	32	1	1491924416.461376000	1491924416.461376000
203.246.146.19	93.203.159.76	1	1	8	0	1	32	1	1491925078.500551000	1491925078.500551000
203.246.146.19	148.142.250.166	1	1	8	0	1	32	1	1491924612.269849000	1491924612.269849000
203.246.146.19	14.117.250.40	1	1	8	0	1	32	1	1491925913.976167000	1491925913.976167000
203.246.146.19	71.2.162.181	1	1	8	0	1	32	1	1491925102.284102000	1491925102.284102000
177.246.47.180	203.246.146.19	1	1	0	0	1	32	1	1491923501.866263000	1491923501.866263000
203.246.146.19	59.58.64.150	1	1	8	0	1	32	1	1491924864.588486000	1491924864.588486000
203.246.146.19	118.65.171.72	1	1	8	0	1	32	1	1491924746.460295000	1491924746.460295000
203.246.146.19	123.31.20.11	1	1	8	0	1	32	1	1491993851.374122000	1491993851.374122000
73.8.105.107	203.246.146.19	1	1	0	0	1	32	1	1491991504.456443000	1491991504.456443000
75.66.31.190	203.246.146.19	1	1	0	0	1	32	1	1491991748.917763000	1491991748.917763000
203.246.146.19	124.255.155.237	1	1	8	0	1	32	1	1491991150.344093000	1491991150.344093000
203.246.146.19	72.148.132.186	1	1	8	0	1	32	1	1491992266.508543000	1491992266.508543000
203.246.146.19	206.29.82.216	1	1	8	0	1	32	1	1491994721.412365000	1491994721.412365000
203.246.146.19	14.141.164.113	1	1	8	0	1	32	1	1491992417.543680000	1491992417.543680000
203.246.133.35	178.46.86.228	1	1	3	1	1	56	1	1491993779.470270000	1491993779.470270000
